teamID,teamGPA,teamPrefferedList,finishedCourses,projectID,requiredCourses
19,4.56,"65,9,40,26,16,51,69,68,7,43,53,24,12,25,1,33,48,27,58,45,14,21,64,59,35,34,50,31,74,70,29,54,15,60,63,3,20,71,18,61,11,10,39,41,72,66,5,62,67,56,19,2,13,49,37,23,46,36,44,17,8,28,22,55,6,38,30,73,52,57,4,47,42,32,75","0,0.75,0.25,0.5",19,"1,1,1,0"
47,4.52,"37,9,49,46,34,8,31,47,6,36,41,16,33,12,69,67,21,22,1,75,44,42,51,32,39,43,17,40,4,7,65,70,2,10,61,53,50,48,15,56,73,60,45,20,19,5,11,63,35,74,13,68,57,14,66,59,25,72,71,30,24,27,58,3,38,54,23,18,28,62,26,52,29,55,64","1,0.75,0.75,0",47,"1,0,0,0"
35,4.51,"43,25,36,12,46,63,57,21,53,62,2,55,71,70,1,67,69,27,74,16,41,31,4,40,68,73,5,66,52,24,32,34,11,59,7,47,50,3,51,37,56,26,44,60,23,58,75,14,61,18,22,8,64,54,13,33,35,17,72,29,42,48,19,6,38,20,10,28,9,15,45,65,39,49,30","1,0.5,0.25,0.75",35,"0,0,1,1"
52,4.47,"33,22,53,74,34,73,59,16,51,2,37,63,55,38,29,15,47,45,57,49,28,31,24,75,41,70,21,10,54,6,7,68,17,64,9,18,11,48,62,19,52,40,20,58,56,26,23,1,71,3,61,30,36,50,72,14,44,65,27,13,39,35,42,32,67,60,66,5,12,4,46,69,25,8,43","0.5,0.5,0.25,1",52,"1,0,0,0"
48,4.45,"26,42,4,3,30,68,12,37,58,39,25,29,59,23,43,38,9,60,74,36,56,13,20,21,65,18,63,52,10,69,72,71,6,47,57,19,41,55,51,15,62,61,73,53,5,14,49,34,44,24,40,7,67,54,28,2,45,11,17,66,32,64,22,75,27,50,31,46,8,33,70,35,1,16,48","0.25,1,0.75,0.5",48,"1,0,1,1"
24,4.33,"22,64,6,23,2,47,52,44,25,62,59,69,53,63,54,39,31,42,26,46,1,20,33,72,56,61,8,7,74,68,17,57,32,65,73,28,41,71,19,43,58,16,15,4,9,13,5,67,34,60,51,29,10,24,30,70,50,36,21,55,14,75,45,66,35,38,49,40,18,37,3,27,11,48,12","0,0.25,1,0.75",24,"1,1,1,1"
9,4.31,"8,29,15,6,69,1,30,43,9,22,40,52,70,3,49,46,11,60,51,25,56,66,50,28,32,14,24,26,38,67,62,16,13,36,44,54,21,41,19,53,27,2,45,18,12,33,75,64,5,39,48,35,65,72,42,68,58,74,71,37,34,47,61,7,20,31,10,17,57,4,55,63,59,23,73","0.25,0.25,0,0.75",9,"0,1,1,0"
36,4.31,"43,41,63,2,69,67,27,42,24,8,23,12,10,73,3,15,66,53,59,37,18,26,47,32,25,48,17,1,50,57,14,36,68,75,65,46,28,35,54,34,30,45,56,44,19,74,13,61,72,4,33,71,7,9,22,52,31,29,11,49,64,38,60,70,5,21,39,16,58,55,20,62,6,40,51","0,0.5,0,0.75",36,"1,0,1,0"
29,4.29,"58,26,6,51,28,59,35,57,31,38,56,18,49,12,45,60,62,1,71,24,44,25,23,67,41,29,17,70,47,4,55,27,75,39,37,68,72,11,46,10,65,64,53,15,8,16,40,7,20,61,34,14,36,13,50,52,32,74,43,73,19,69,33,2,48,63,42,54,3,66,30,22,21,5,9","0.75,0.5,0.5,1",29,"1,1,0,1"
62,4.22,"72,75,54,10,34,31,27,67,28,58,74,47,22,41,43,25,11,68,18,21,71,29,49,19,23,63,55,24,40,73,5,51,64,32,65,13,53,1,8,48,9,37,39,16,26,15,42,45,7,61,4,33,30,62,44,56,50,52,38,35,3,6,66,70,14,69,59,12,57,60,46,36,2,20,17","0.75,1,0.25,0",62,"0,1,0,0"
28,4.21,"36,44,40,59,73,24,43,55,72,20,27,11,74,19,7,53,50,1,70,3,68,15,49,17,16,18,45,23,62,9,39,12,75,35,61,2,38,28,42,4,32,57,30,64,66,26,29,60,52,33,6,51,69,22,54,47,63,46,13,41,48,21,14,58,31,25,37,10,71,5,34,8,67,65,56","1,0.75,0,0.75",28,"1,1,0,1"
30,4.18,"31,70,48,55,24,4,6,23,3,7,1,71,32,51,49,16,45,29,28,42,73,35,15,69,63,34,22,11,20,44,40,25,38,37,41,21,56,43,64,12,36,61,65,46,75,33,19,67,26,62,27,54,66,72,39,57,17,50,59,47,53,2,58,68,10,8,30,60,13,14,18,9,52,74,5","0.25,0,1,1",30,"0,1,0,0"
38,4.18,"46,34,48,38,51,8,9,45,2,53,32,64,42,26,67,74,69,65,11,27,54,3,6,50,1,20,28,63,15,4,10,18,25,19,73,37,14,49,62,52,70,5,36,31,33,58,56,21,55,59,35,29,41,43,7,68,72,24,57,22,13,60,66,23,61,44,75,39,12,47,17,16,71,30,40","0,0.75,1,1",38,"0,1,0,0"
39,4.16,"20,68,23,26,75,22,25,53,27,33,49,13,45,15,56,21,46,70,65,41,10,32,3,54,24,1,12,72,42,67,30,39,61,7,6,40,11,52,64,58,2,19,63,34,16,37,62,14,55,51,18,48,44,36,43,74,47,60,66,31,59,38,57,69,9,28,73,17,35,71,50,5,4,8,29","1,1,0.75,0.25",39,"1,1,1,1"
7,4.15,"49,17,47,25,32,71,44,24,4,21,9,56,68,67,5,40,48,7,29,37,22,64,43,15,60,2,30,59,66,18,8,23,53,14,6,28,42,46,75,69,58,31,45,12,34,13,74,63,41,72,16,36,27,65,11,54,73,1,26,39,20,61,62,38,70,55,35,19,33,51,57,3,10,50,52","0.75,0.5,1,0",7,"0,0,0,0"
32,4.12,"72,60,49,65,24,21,31,23,56,5,63,26,11,10,51,70,37,64,55,17,35,44,62,61,36,47,59,38,6,69,48,68,73,46,39,13,30,34,8,20,74,12,25,52,58,43,32,50,29,42,53,18,2,4,3,71,14,66,1,27,57,33,40,28,9,67,19,16,41,22,15,7,54,45,75","1,0.25,0.75,0.5",32,"1,1,1,1"
60,4.12,"59,44,66,40,13,36,9,70,3,32,46,72,23,60,50,41,75,7,71,64,34,39,31,22,63,27,10,14,20,52,62,15,68,16,19,6,26,43,11,17,38,33,53,1,5,67,4,58,37,18,25,42,69,61,8,24,74,29,65,12,30,51,73,2,54,57,56,47,45,55,48,35,21,28,49","0.25,0.25,0.25,0",60,"0,0,1,1"
3,4.09,"11,71,21,67,54,18,47,74,8,65,1,7,35,61,28,44,63,24,64,69,2,23,25,37,26,34,30,38,39,14,12,45,60,15,10,75,55,59,72,73,50,33,19,22,43,57,29,62,4,51,66,3,20,48,40,49,46,9,36,6,52,53,58,31,42,68,56,41,13,16,5,70,32,27,17","0,1,1,0.75",3,"0,0,1,0"
23,4.06,"28,37,26,27,4,53,47,30,49,12,40,10,42,63,69,70,68,36,32,7,23,17,31,66,41,59,45,13,60,39,6,65,2,67,15,21,58,25,35,54,3,50,5,71,22,38,9,20,8,34,74,1,56,16,14,19,62,75,48,46,33,61,52,44,73,11,72,55,51,57,64,43,24,18,29","0.25,0.25,0.5,1",23,"1,1,0,1"
26,4.05,"16,72,1,33,63,67,22,70,2,6,74,47,53,62,3,71,9,52,43,56,20,36,44,40,19,60,59,41,14,18,49,30,38,50,65,73,28,37,10,45,39,69,26,54,32,7,29,55,4,11,25,42,57,64,17,68,23,34,46,75,13,61,31,8,35,15,51,21,58,5,24,48,66,27,12","1,1,0,0",26,"0,1,1,0"
6,4.03,"47,17,38,69,54,64,31,56,65,60,34,1,21,19,2,50,24,23,3,11,20,28,10,15,37,13,8,52,66,57,53,25,62,72,30,61,32,67,55,4,63,48,43,75,9,70,46,58,27,41,35,6,44,68,49,22,45,74,51,36,26,71,33,29,12,16,40,14,39,42,59,18,5,73,7","0.25,0,0.5,1",6,"0,1,0,1"
61,4,"47,6,36,62,11,18,13,24,46,39,45,64,63,42,57,58,67,25,9,35,1,75,26,56,37,34,48,55,21,5,41,40,74,51,73,28,20,27,19,4,60,68,31,53,16,72,38,69,49,52,59,66,30,70,17,22,12,29,71,8,33,44,50,7,10,43,3,15,14,32,54,2,65,23,61","0.5,0,0.25,0.75",61,"0,0,0,0"
15,3.96,"54,10,6,18,64,11,35,14,3,69,26,31,47,59,46,56,32,34,74,72,28,73,7,22,33,30,48,53,2,1,20,16,4,61,8,39,60,40,70,55,58,49,66,13,57,42,19,29,51,52,27,65,43,38,15,68,23,71,24,12,75,45,37,62,5,21,25,63,36,44,50,67,9,17,41","0.5,0.75,0.25,0.5",15,"1,1,1,1"
63,3.9,"29,12,49,30,67,23,58,63,21,64,73,13,60,32,8,16,26,17,42,27,11,31,68,41,47,24,43,72,20,4,44,18,34,7,62,55,56,25,69,35,51,50,45,66,52,19,74,37,15,36,65,57,38,2,53,70,28,71,54,75,10,61,1,48,22,3,5,39,14,40,6,33,9,59,46","0,0,1,0.75",63,"0,0,1,1"
18,3.8,"75,51,3,41,64,70,8,69,19,58,45,55,71,50,44,56,28,11,12,73,21,39,43,34,7,16,60,72,65,22,4,1,36,30,6,48,29,32,52,5,23,31,2,61,9,47,37,54,24,14,63,42,26,35,10,18,67,13,15,53,17,40,25,74,33,38,46,59,27,49,68,62,20,66,57","0.75,0,0.75,0.5",18,"0,1,0,0"
42,3.8,"22,69,24,60,59,35,27,17,19,16,21,65,38,39,73,70,15,29,54,58,37,42,1,45,3,25,68,75,26,55,64,61,51,4,30,48,32,74,67,18,20,13,6,5,62,9,2,53,11,12,43,72,40,46,63,44,14,10,71,34,66,41,33,50,36,28,31,52,7,56,49,23,8,57,47","0.25,0,1,0",42,"1,0,0,0"
73,3.8,"11,8,30,4,31,3,42,47,64,37,72,15,56,55,69,20,33,39,46,18,62,2,71,60,66,23,35,19,61,48,57,54,68,75,27,36,16,17,43,40,24,73,51,65,6,70,1,22,41,21,49,53,5,44,59,25,34,38,45,58,14,29,12,67,52,32,26,13,7,63,9,50,74,28,10","1,0.25,0.25,0",73,"1,1,0,1"
16,3.73,"71,5,26,36,58,24,4,64,40,51,6,53,25,9,66,73,18,70,43,37,38,28,29,69,44,20,54,41,35,2,1,74,60,42,47,61,16,72,17,48,57,68,39,22,14,49,32,13,33,10,45,63,21,11,8,34,65,50,52,62,67,12,59,27,75,56,46,55,15,7,31,30,23,19,3","0.5,0.5,0.25,0.5",16,"0,0,0,0"
51,3.67,"65,38,13,1,72,12,37,35,16,59,62,40,19,14,36,58,67,2,42,46,21,73,24,25,64,52,60,8,26,17,74,57,66,9,15,7,11,20,61,34,49,48,56,5,41,45,43,75,10,63,53,39,3,50,69,23,33,54,29,31,27,18,28,51,55,44,22,68,70,4,47,71,30,6,32","0,0,0,0",51,"1,1,1,0"
56,3.56,"58,30,26,60,15,61,37,13,41,1,9,23,69,29,20,75,48,43,67,44,7,22,27,63,59,47,5,50,21,62,51,32,46,8,57,42,55,73,39,49,11,36,68,71,64,14,40,17,53,35,18,34,38,24,4,70,56,6,31,33,52,72,10,45,3,28,74,2,16,54,65,19,12,66,25","1,0.5,1,0",56,"0,1,0,0"
66,3.52,"21,2,36,61,59,55,71,5,73,3,16,56,23,65,51,22,41,18,14,4,45,28,40,53,57,15,64,20,30,60,75,29,1,31,50,12,26,17,47,48,6,37,35,34,68,9,39,11,33,42,54,67,58,27,19,72,69,46,44,43,70,49,52,25,13,74,7,63,8,32,24,10,62,66,38","0.5,1,0.5,0.5",66,"0,1,1,1"
2,3.5,"53,39,51,10,42,71,66,33,4,59,24,11,15,17,34,32,45,61,67,27,36,62,1,54,7,55,49,14,44,3,60,19,5,23,31,26,18,50,63,30,52,43,47,64,9,68,13,21,73,16,37,57,35,58,38,48,75,69,40,20,28,46,74,70,41,25,2,72,22,6,12,29,56,8,65","0.25,0.75,0,0.25",2,"0,0,1,0"
21,3.5,"34,22,23,5,7,68,25,35,70,74,69,50,8,61,17,31,48,42,71,28,52,12,13,4,19,73,37,41,21,27,55,49,44,54,60,64,58,9,45,36,65,66,59,56,53,29,38,39,62,63,3,16,46,20,18,6,2,40,75,67,26,43,10,24,32,72,15,51,1,57,30,47,33,11,14","0.75,0,0.25,0",21,"0,0,0,0"
22,3.45,"58,73,20,66,11,64,24,62,41,67,9,28,60,30,33,23,26,27,7,47,17,70,18,74,57,68,52,50,63,42,55,54,3,31,4,32,1,35,12,69,15,37,43,21,38,44,45,56,2,5,36,48,75,46,39,59,40,13,34,29,65,25,19,8,22,14,16,51,61,49,6,10,72,71,53","0,0.5,0.5,0.25",22,"0,1,1,0"
25,3.39,"14,2,16,34,15,5,52,24,73,29,74,19,68,46,56,63,4,71,31,9,13,41,55,38,60,54,22,57,69,66,30,6,7,64,47,3,58,18,21,70,27,10,53,8,40,37,11,17,75,67,23,48,50,25,32,1,62,26,33,59,28,43,49,65,45,35,36,72,12,51,39,61,20,44,42","0.5,0,0.25,0",25,"0,1,1,1"
27,3.31,"44,7,58,71,1,16,30,68,53,61,24,33,32,42,26,48,62,72,46,2,5,13,34,43,50,67,19,59,29,52,70,11,38,22,47,21,9,73,23,63,69,65,55,28,12,37,54,35,60,18,64,14,57,45,15,10,41,3,17,56,40,74,31,25,27,6,66,75,4,36,49,8,51,39,20","0,0.75,1,0.75",27,"1,1,1,0"
53,3.28,"48,35,36,24,11,19,61,2,65,75,59,9,29,55,72,31,7,49,43,67,37,64,17,4,73,51,3,14,38,69,21,33,46,30,39,62,52,41,58,16,13,12,56,70,22,57,34,45,63,44,53,50,60,28,1,27,47,8,68,32,25,54,6,40,5,74,23,15,26,66,71,10,42,20,18","1,0.25,1,0.25",53,"0,1,0,0"
20,3.27,"58,33,27,19,16,73,67,15,50,23,55,46,36,62,54,66,52,18,44,45,57,49,41,60,22,21,5,37,34,7,4,75,72,12,11,38,10,65,71,9,42,39,63,31,48,26,74,32,8,69,14,13,25,64,61,24,53,68,47,30,6,28,1,59,43,35,70,20,40,17,56,3,51,29,2","0.75,0.25,0.25,0.25",20,"1,0,1,0"
46,3.26,"40,47,3,75,54,28,37,39,58,35,36,62,20,31,46,68,44,55,1,34,43,59,49,69,64,26,66,61,16,57,6,17,63,4,27,9,50,18,25,13,32,74,70,24,14,60,15,51,7,48,53,8,73,30,2,10,21,29,11,33,41,67,23,42,52,12,22,38,71,19,45,72,5,56,65","1,0.75,0,0.5",46,"1,1,1,0"
58,3.26,"10,13,23,41,11,70,49,36,71,54,47,30,2,24,6,38,69,52,19,9,45,55,66,28,4,37,46,20,64,29,31,63,17,1,58,27,61,18,15,65,21,44,67,68,40,32,35,73,57,59,50,22,26,74,34,60,25,14,12,62,3,5,8,43,7,56,16,72,75,42,39,33,51,53,48","0.25,1,1,0.75",58,"0,1,0,1"
75,3.22,"48,31,42,4,27,44,24,30,21,52,49,43,75,56,71,66,14,26,23,15,61,67,17,45,36,33,46,70,18,34,58,73,7,28,53,5,60,2,72,63,40,32,8,65,16,12,51,10,3,64,57,11,37,20,50,25,9,13,39,6,1,19,29,55,47,62,68,69,41,38,22,35,59,54,74","0.25,0,0,0.75",75,"0,1,0,1"
37,3.19,"73,20,11,4,15,70,69,49,31,33,18,52,8,43,39,62,32,57,6,54,3,34,7,19,72,65,30,75,68,22,44,41,24,16,10,5,25,28,37,9,45,17,51,53,46,13,55,59,64,60,29,66,67,36,74,1,61,40,27,2,42,56,35,21,63,50,38,14,58,47,48,26,23,71,12","0.75,1,0,1",37,"0,1,1,0"
72,3.17,"34,28,46,36,50,63,6,41,10,37,30,68,53,11,38,19,45,48,3,74,60,31,54,24,39,20,5,42,7,14,64,26,72,12,56,15,33,65,55,13,17,47,40,32,69,22,9,21,75,25,23,16,27,18,35,71,57,49,4,67,73,59,44,43,29,66,1,52,58,62,51,2,61,70,8","0.75,0.75,1,0.25",72,"0,1,1,1"
1,3.13,"64,36,46,58,14,13,74,15,23,35,67,11,19,39,51,26,33,69,53,6,20,3,4,54,66,17,30,24,10,71,12,52,49,25,7,61,32,27,44,63,40,42,38,47,56,2,37,60,21,57,41,28,29,31,9,5,43,62,45,59,72,73,68,16,50,22,8,75,48,55,34,70,1,18,65","0.5,1,0.75,1",1,"1,1,0,1"
44,3.13,"71,45,59,14,28,62,8,61,3,15,57,65,58,7,32,68,44,69,1,67,48,74,51,25,60,2,13,70,29,46,54,39,16,11,34,55,66,17,40,49,47,27,9,26,73,10,24,64,37,18,30,41,22,31,20,38,6,43,50,23,56,4,63,52,19,36,12,53,75,35,21,42,72,5,33","0.25,0,0.5,1",44,"0,1,1,1"
31,3.06,"42,73,72,34,68,55,4,50,48,25,21,53,45,75,51,58,56,49,10,20,14,30,46,35,33,2,24,17,27,74,65,64,31,41,60,26,23,28,63,54,19,71,5,59,11,7,47,37,69,3,52,22,12,67,44,61,66,57,9,43,8,62,70,29,13,1,38,36,40,6,32,16,39,15,18","0,1,0.25,0.25",31,"0,1,0,1"
64,3.02,"26,43,25,60,36,61,53,75,35,52,6,65,18,31,1,21,2,67,10,44,73,32,66,45,46,12,63,15,70,69,68,72,38,20,9,56,27,55,74,50,4,40,57,54,3,23,16,62,30,51,64,41,7,22,14,29,59,42,47,13,8,37,33,71,5,58,39,48,19,17,49,11,28,34,24","0,0.75,0.5,0.25",64,"1,0,1,0"
41,2.99,"7,49,64,30,46,12,55,6,39,9,50,62,63,69,54,8,72,10,36,1,66,18,40,43,37,17,47,28,67,21,71,20,52,68,59,5,14,34,3,44,15,13,45,60,56,70,35,75,53,51,31,58,42,27,48,25,33,38,29,24,22,26,41,2,4,61,73,19,32,57,11,23,16,65,74","1,0.25,0.25,0.25",41,"1,0,1,0"
14,2.97,"13,68,50,6,70,1,57,36,7,27,67,44,63,34,18,41,56,14,69,23,33,29,22,15,60,10,39,73,31,5,11,9,40,51,55,4,38,3,53,72,74,52,12,43,61,30,65,24,54,25,59,45,47,16,71,64,19,35,62,75,32,26,58,21,66,20,28,48,8,49,46,2,37,42,17","0,0.25,0.25,0",14,"1,0,1,0"
65,2.96,"7,47,49,20,58,60,25,19,15,36,70,10,50,32,5,1,24,68,35,23,28,71,31,48,16,61,54,4,66,38,56,8,21,13,59,43,3,11,34,2,64,73,57,41,62,65,52,29,30,33,6,42,63,39,18,37,26,14,17,67,9,44,45,55,46,69,40,12,51,27,74,53,22,72,75","0.75,1,0.5,0.25",65,"1,1,1,1"
74,2.93,"62,69,20,74,53,64,24,28,63,47,4,38,15,57,66,31,1,26,33,22,58,18,16,68,48,50,11,6,7,37,51,59,43,71,54,3,72,5,67,14,46,12,39,17,56,61,41,32,35,19,52,27,2,25,21,60,70,49,30,73,8,29,34,9,36,10,42,65,40,13,75,23,45,44,55","0.5,1,0.25,0.5",74,"1,0,0,0"
43,2.92,"72,50,33,74,75,26,2,30,17,60,44,15,27,59,23,19,57,41,5,42,25,55,36,52,73,64,1,8,48,63,65,61,45,54,4,37,39,70,22,69,51,47,16,46,20,58,6,10,14,71,28,66,7,56,29,67,18,21,49,24,11,32,9,38,43,31,3,53,40,12,35,34,68,62,13","0.75,0.25,0.5,0",43,"1,0,0,1"
67,2.92,"74,12,48,58,7,6,30,55,59,57,56,1,33,45,71,25,50,28,14,9,21,36,62,35,10,26,23,39,52,11,37,47,73,4,63,41,60,27,3,64,29,20,51,67,38,13,22,43,24,15,44,17,16,32,49,70,40,18,61,34,5,68,19,42,8,75,2,66,72,54,69,31,65,46,53","1,1,1,0.75",67,"1,1,0,0"
5,2.88,"64,42,36,70,39,60,35,16,74,52,53,25,13,45,32,67,19,9,1,20,29,38,44,59,10,3,6,58,66,26,21,73,17,47,33,4,18,5,37,28,30,12,34,54,14,57,41,61,46,31,50,40,69,65,55,8,75,49,27,48,23,7,51,22,43,62,24,72,56,68,63,71,2,11,15","0,0.25,0.75,0.25",5,"1,0,0,1"
49,2.88,"12,28,55,7,75,43,40,38,31,37,30,17,29,47,46,49,42,1,18,10,51,65,36,26,62,48,59,21,71,52,34,4,39,69,14,22,8,25,58,60,41,27,50,16,32,67,24,70,53,6,56,20,54,23,9,33,68,74,66,57,2,5,61,11,72,13,15,64,45,35,3,73,63,44,19","0.5,1,0.25,0.25",49,"1,1,1,0"
70,2.85,"38,32,14,9,25,12,3,61,60,8,64,30,39,4,7,56,43,18,55,57,27,10,69,58,11,26,52,42,31,29,48,20,49,74,33,40,72,22,19,34,23,15,62,68,44,13,5,51,16,65,59,45,71,2,50,1,28,6,24,47,35,54,37,36,75,46,53,70,41,73,17,21,66,63,67","0.25,0.75,0.5,1",70,"1,0,1,1"
57,2.83,"72,28,26,64,41,44,14,16,21,19,43,73,27,18,38,45,59,31,42,55,57,24,65,20,71,54,10,69,1,67,50,62,48,40,6,30,61,13,70,35,49,12,66,75,74,58,7,33,32,52,9,5,68,8,2,11,51,63,25,34,29,47,17,4,39,36,53,15,46,37,23,22,3,60,56","1,0,1,0.5",57,"1,0,1,0"
10,2.81,"50,52,29,72,64,61,7,15,62,3,45,63,12,70,65,23,4,28,2,5,8,24,30,13,33,53,51,67,32,75,66,26,17,6,74,16,1,46,20,40,69,48,18,73,55,34,37,25,14,68,54,71,10,43,27,49,39,56,60,21,11,44,36,59,19,57,58,22,35,42,31,9,41,38,47","0.5,0,0.5,0.75",10,"1,0,0,0"
4,2.77,"42,29,56,15,4,66,7,71,14,61,64,10,24,19,41,70,58,45,32,34,73,11,65,2,38,43,55,25,22,3,52,1,33,17,62,60,47,31,54,40,20,36,57,18,51,9,39,69,75,68,59,53,46,30,44,72,5,48,67,35,8,63,13,23,50,12,49,37,26,74,6,21,16,27,28","0.5,1,0.75,1",4,"0,1,1,0"
34,2.76,"41,44,3,8,37,66,33,12,51,13,65,49,1,18,60,69,58,59,47,32,48,19,56,75,68,10,55,53,67,6,34,50,30,71,54,64,45,26,28,40,27,4,7,9,15,73,36,14,63,70,46,72,24,57,42,21,2,17,61,23,11,74,16,52,25,5,39,35,62,43,31,38,20,29,22","0,1,0.5,0.75",34,"1,1,0,1"
45,2.71,"63,16,56,53,9,1,71,75,59,44,67,21,50,58,3,18,5,7,62,32,20,4,57,52,33,65,25,24,55,48,11,41,68,60,35,34,27,29,31,8,6,54,23,73,30,64,40,49,17,42,13,36,69,12,46,70,74,45,26,43,47,15,39,61,19,22,51,38,72,37,10,28,14,66,2","0,0.5,0.75,0",45,"1,0,1,0"
50,2.69,"55,52,41,25,29,30,54,35,56,9,12,62,21,60,14,6,44,50,33,72,48,65,3,53,64,73,15,40,46,7,39,74,16,63,36,71,69,66,59,17,70,5,31,22,58,11,2,47,43,32,49,13,51,42,18,57,20,27,28,1,37,26,45,75,68,38,19,61,23,8,4,10,34,67,24","0.25,1,1,0.25",50,"0,1,0,0"
40,2.62,"5,56,26,55,16,32,45,18,42,1,66,69,11,62,43,48,31,20,25,57,2,72,23,73,29,35,33,10,37,30,46,67,28,51,34,15,39,3,9,38,59,40,19,17,12,50,41,61,52,14,22,7,68,8,4,6,24,60,53,36,54,71,64,13,27,47,75,65,49,63,58,21,74,44,70","0.5,0.5,1,0",40,"1,1,0,0"
68,2.56,"62,26,42,14,27,64,18,73,53,66,6,70,16,23,29,17,74,8,58,19,57,13,67,72,46,45,59,4,2,35,28,43,47,56,22,36,3,68,20,24,38,12,69,51,63,9,5,55,40,39,11,37,30,71,54,33,15,21,25,60,50,65,7,1,61,10,44,49,48,32,75,52,31,41,34","1,0.5,0,1",68,"1,0,0,1"
13,2.55,"7,21,66,15,52,5,61,29,13,41,51,12,57,6,47,73,11,4,27,34,64,62,33,50,19,67,53,48,45,30,75,39,68,32,70,26,16,58,38,71,74,69,44,54,9,72,31,37,60,24,49,59,25,40,8,55,10,20,36,43,23,3,65,14,63,56,2,35,1,46,17,18,22,28,42","0.5,1,0.25,0.25",13,"0,0,0,1"
